"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/29 8:28:40 PM GMT+3","Женский","32","Высшее","Тропарево-Никулино","В декретном отпуске ","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","6","3","3","1","6","6","Развлечение"
"2019/05/29 8:31:46 PM GMT+3","Мужской","44","Высшее","Бауманская ","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","8","2","2","8","1","3","Воспринимаю велосипед как спорт - укататься в специальных местах"
"2019/05/29 8:33:15 PM GMT+3","Женский","32","Высшее","Пресненский","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","10","2","1","1","1","1","Говно, которое мешается под колесами автомобиля, и мешает передвигаться, если идешь пешком. Велосипеды в пределах ТТК надо запретить. "
"2019/05/29 8:34:56 PM GMT+3","Женский","49","Неоконченное высшее","Мещанский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","9","5","8","4","6","5",""
"2019/05/29 8:39:18 PM GMT+3","Женский","56","Среднее специальное","Басманный","На пенсии","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи","Да","Да","Да, есть","Нет","Более 10 километров","7","7","5","5","9","10",""
"2019/05/29 8:39:57 PM GMT+3","Женский","31","Высшее","Басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Шоппинг","Нет","Да","Да, есть","Да, есть","Более 10 километров","6","1","2","1","8","10","Свобода"
"2019/05/29 8:48:40 PM GMT+3","Мужской","39","Высшее","Замоскворечье","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Езжу в бар или ресторан не далеко от дома","Нет","Да","Нет","Да, есть","От 2 до 5 километров","9","2","5","5","3","3","Удобная штука. Но ездить по дорогам очень опасно. "
"2019/05/29 8:54:27 PM GMT+3","Женский","68","Высшее, ученая степень","Басманный","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","9","1","5","5","3","3","Средство передвижения за городом или в парках"
"2019/05/29 8:55:58 PM GMT+3","Женский","43","Высшее","Тропарево-Никулино","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","10","3","10","3","10","10","Приятный досуг"
"2019/05/29 9:11:56 PM GMT+3","Женский","30","Высшее","Центр ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Да, есть","Нет","От 5 до 10 километров","7","5","10","4","10","10","Средство передвижения "
"2019/05/29 9:21:45 PM GMT+3","Женский","48","Высшее","Басманный","Я работаю","Да","Более 10 лет","Да, пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","От 5 до 10 километров","10","1","1","1","5","5","Прогулка на свежем воздухе, развлечение"
"2019/05/29 9:23:30 PM GMT+3","Женский","45","Высшее","Басманный","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","10","1","10","10","1","1","Инвентарь для отдыха за городом"
"2019/05/29 9:48:45 PM GMT+3","Женский","36","Высшее","Таганский","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 2 до 5 километров","8","1","1","5","1","1",""
"2019/05/29 9:56:51 PM GMT+3","Женский","36","Высшее","Басманный","Домохозяйка","Да","от 1 до 5 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","Менее 2 километров","9","2","7","6","5","5","Недооцененный вид транспорта"
"2019/05/29 9:56:55 PM GMT+3","Женский","36","Высшее","Басманный","Домохозяйка","Да","от 1 до 5 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","Менее 2 километров","9","2","7","6","5","5","Недооцененный вид транспорта"
"2019/05/29 10:00:24 PM GMT+3","Мужской","42","Высшее","Бутырский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы);Шоппинг","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","7","5","3","2","5","7","Средство поддержания здоровья"
"2019/05/29 10:08:41 PM GMT+3","Мужской","44","Высшее","Басманный","Я работаю","Да","от 1 до 5 лет","Да, пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Да","Нет","Да, есть","Да, есть","От 2 до 5 километров","1","8","4","4","9","7",""
"2019/05/29 10:09:08 PM GMT+3","Женский","35","Высшее","Басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Нет","От 2 до 5 километров","10","1","3","1","6","10","Для меня это как глоток детства, обожаю кататься на велосипеде с детства, самый лучший досуг "
"2019/05/29 10:09:37 PM GMT+3","Женский","44","Высшее","Басманный","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","7","8","3","3","1","7",""
"2019/05/29 10:23:56 PM GMT+3","Мужской","37","Высшее, ученая степень","Басманный","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Нет","От 5 до 10 километров","6","4","6","2","8","10",""
"2019/05/29 10:42:39 PM GMT+3","Женский","47","Высшее","Басманный","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","10","1","10","1","10","6","Средство транспорта и физической активности, а также элемент борьбы с пробками и смертями на дорогах"
"2019/05/29 10:51:51 PM GMT+3","Женский","48","Высшее","Новогиреево","Я работаю","Да","Более 10 лет","Да, пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Более 10 километров","10","1","10","1","5","5","Отдых"
"2019/05/29 11:01:08 PM GMT+3","Женский","48","Среднее специальное","Лефортово","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","4","5","4","4","6","7","Отдых для ума и тренировка тела"
"2019/05/29 11:06:09 PM GMT+3","Женский","41","Высшее","Якиманка","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","10","1","1","1","5","5",""
"2019/05/29 11:15:07 PM GMT+3","Женский","45","Высшее","Басманный","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Менее 2 километров","10","1","5","1","1","4","Средство для прогулок в парках и за городом"
"2019/05/29 11:43:35 PM GMT+3","Женский","47","Высшее","Тропарево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","7","4","3","9","8","10","Здоровье"
"2019/05/30 12:04:27 AM GMT+3","Женский","29","Высшее","Басманный / Красные Ворота","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","7","2","6","6","7","9","Экологичное, оздоравливающее средство передвижения"
"2019/05/30 12:09:34 AM GMT+3","Женский","29","Высшее, ученая степень","Басманном","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Нет","Да, есть","Нет","Более 10 километров","5","10","10","10","6","8","Экономия времени. Короткие поездки что бы миновать пробки и удобней воспользоваться общественными транспортом."
"2019/05/30 12:42:37 AM GMT+3","Женский","45","Высшее","Басманный","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","3","1","1","1","5","6","Для прогулок по парку"
"2019/05/30 12:51:20 AM GMT+3","Женский","30","Высшее","Басманный","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","6","4","4","6","2","1","Для меня средство угрозы, ТК велосипедисты едут по тротуару, где идут пешеходы. К ним же добавляться люди на скутерах и т.д. В итоге тротуар - это проезжая часть, а пешеходам идти негде, боишься, что наедут "
"2019/05/30 1:05:12 AM GMT+3","Женский","29","Высшее","Басманный","Я работаю","Да","от 5 до 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Да","Да","Да, есть","Нет","От 2 до 5 километров","4","9","10","1","3","9","Скорее средство досуга, чем транспорт — когда приезжаю на работу на нем, потом всегда очень лень ехать на нем обратно "
"2019/05/30 1:12:26 AM GMT+3","Женский","36","Высшее","Таганский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Нет","Да, есть","Да, есть","От 2 до 5 километров","9","2","2","2","9","9","Удобство и развлечение"
"2019/05/30 2:34:46 AM GMT+3","Женский","40","Высшее","Басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","8","4","8","3","5","9","Способ проведения досуга и получения удовольствия "
"2019/05/30 2:40:40 AM GMT+3","Женский","40","Среднее специальное","Басманный","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","3","4","4","4","9","9","Средство передвижения"
"2019/05/30 3:01:04 AM GMT+3","Женский","46","Высшее","Москва, ЦАО ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Да, есть","Менее 2 километров","8","1","5","1","10","10","Основной вид транспорта"
"2019/05/30 3:01:19 AM GMT+3","Женский","61","Высшее","Сокольники","пенсионер","Нет","","","","","","Нет","Нет","Нет","От 2 до 5 километров","10","1","1","1","1","1","спортинвентарь"
"2019/05/30 4:08:01 AM GMT+3","Женский","24","Высшее","Пресненский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Нет","От 5 до 10 километров","3","3","9","9","10","10","Свобода: от пробок, расписаний. Я точно могу рассчитать время в пути. Я вижу город, людей, исследую новые районы, могу заехать во двор, парк по пути. Я часто езжу по встречам в разные места в пределах ТТК - на велосипеде быстрее, чем на другом транспорте. Нет давки в метро. Единственный минус - я водитель, а не пассажир, нужно находиться в постоянной концентрации, в метро могу почитать книгу, а на велосипеде аудиокниги не воспринимаются, только музыка."
"2019/05/30 7:01:01 AM GMT+3","Женский","38","Неоконченное высшее","Таганский","Я безработный","Нет","","","","","","Да","Да, есть","Да, есть","Менее 2 километров","9","9","8","10","2","4","Загородный отдых"
"2019/05/30 7:21:47 AM GMT+3","Женский","42","Высшее","Басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","8","1","10","1","10","1","Развлечение ранним утром когда мало людей и машин на улицах. И только летом"
"2019/05/30 7:35:31 AM GMT+3","Женский","39","Высшее","юг","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","Более 10 километров","5","4","2","1","10","10",""
"2019/05/30 7:42:45 AM GMT+3","Мужской","44","Высшее","ЦАО ","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","10","5","10","5","1","1",""
"2019/05/30 7:51:33 AM GMT+3","Женский","41","Высшее","Басманный","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","10","1","6","4","1","8",""
"2019/05/30 8:17:22 AM GMT+3","Женский","45","Высшее, ученая степень","Басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 5 до 10 километров","9","1","10","1","1","3","Средство для прогулок . В огромном мегаполисе таком, как Москва , передвигаться на велосипеде каждый день ,включая поездки на работу не целесообразно в связи с огромными расстояниями  . Зачастую опасно для здоровья - плохая экология (и, в основном,не из-за выхлопов автомобилей).
Комфортно регулярно использовать велосипед в городах размером как Гамбург,Осло,Копенгаген."
"2019/05/30 8:25:52 AM GMT+3","Мужской","44","Высшее","Сокол, Хорошевский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Да, есть","Да, есть","Более 10 километров","8","4","10","1","9","10","Удобное и полезное транспортное средство в хорошую погоду. "
"2019/05/30 8:29:44 AM GMT+3","Женский","60","Высшее","Басманный","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","10","1","5","1","8","8","Прекрасное прошлое"
"2019/05/30 8:33:25 AM GMT+3","Мужской","36","Высшее, ученая степень","Басманный","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","10","1","1","1","1","1",""
"2019/05/30 8:36:24 AM GMT+3","Женский","42","Высшее","Басманный","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","10","1","1","1","1","1","Загородные велопрогулки"
"2019/05/30 9:14:14 AM GMT+3","Мужской","38","Высшее, ученая степень","ЦАО ","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","3","3","9","6","3","4",""
"2019/05/30 9:33:11 AM GMT+3","Женский","39","Высшее","Басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Нет","Да","Нет","Да, есть","От 5 до 10 километров","8","8","10","1","10","10","Фан, удовольствие, мышечная радость"
"2019/05/30 10:14:42 AM GMT+3","Женский","40","Высшее","Северное Измайлово","Я работаю","Нет","","","","","","Да","Нет","Нет","Более 10 километров","9","5","5","1","1","9",""
"2019/05/30 11:15:52 AM GMT+3","Мужской","38","Среднее специальное","Люблино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Шоппинг","Нет","Да","Нет","Нет","Более 10 километров","3","5","1","1","5","10",""
"2019/05/30 11:35:58 AM GMT+3","Мужской","36","Высшее","академический","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","9","1","4","2","1","1",""
"2019/05/30 11:44:45 AM GMT+3","Женский","50","Высшее","Обручевский","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","7","4","1","1","1","8","К велосипеду равнодушна. "
"2019/05/30 11:56:06 AM GMT+3","Женский","44","Высшее","ЗАО","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 5 до 10 километров","8","3","3","8","5","8",""
"2019/05/30 11:57:17 AM GMT+3","Женский","50","Высшее","Измайлово","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","8","4","4","2","2","5","ненужная вещь"
"2019/05/30 12:10:47 PM GMT+3","Женский","29","Высшее","Басманный ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Нет","Нет","От 5 до 10 километров","7","5","5","10","10","9","Я очень люблю кататься и стараюсь много это делать летом, но когда я пешеход и велосипедисты едут по пешеходной части - это очень раздражает и пугает. Нам нужны велодорожки! "
"2019/05/30 12:28:49 PM GMT+3","Женский","48","Высшее","Гагаринский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","10","1","1","1","1","1","Велосипед-зло. Ездят не по правилам ДД. Почему по пешеходном переходу едут на великие, а не идут с великом рядом? Почему едут по середине правого ряда? Почему не показывают при перестроении и повороте? Таких вопросов я могу задать ещё много"
"2019/05/30 12:32:10 PM GMT+3","Мужской","24","Неоконченное высшее","басманный","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг;с целью перемещения из точки а в точку б","Да","Нет","Да, есть","Нет","От 2 до 5 километров","7","5","8","8","9","10","велосипед – велосипед. структура вопросов конечно мда"
"2019/05/30 12:45:35 PM GMT+3","Мужской","37","Высшее","Хорошёво-Мнёвники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 2 до 5 километров","9","1","1","1","5","3","Развлечение, физ.нагрузка. Но точно не средство передвижения: это опасно или для меня (на дороге) или для пешеходов (на тротуаре)"
"2019/05/30 1:26:33 PM GMT+3","Женский","35","Высшее","Басманный","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","8","2","10","1","8","8","Удобное средство передвижения"
"2019/05/30 1:36:49 PM GMT+3","Женский","24","Высшее","Новокосино ","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","9","2","1","10","1","3","Транспортное средство, угрожающее безопасности пешеходов (включая меня) "
"2019/05/30 1:59:50 PM GMT+3","Женский","44","Высшее","Красносельский","домохозяйка","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","10","1","8","9","1","1","прогулка по парку на колесах"
"2019/05/30 2:33:22 PM GMT+3","Женский","Средне","Высшее, ученая степень","Центр","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","От 5 до 10 километров","10","1","1","1","1","1","Средство передвижения за городом, вне трасс и машин, спорт"
"2019/05/30 2:53:01 PM GMT+3","Женский","23","Высшее","Басманный","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Как замена общественному транспорту","Да","Нет","Да, есть","Нет","От 2 до 5 километров","6","3","10","10","9","10",""
"2019/05/30 2:57:38 PM GMT+3","Женский","40","Высшее","Фили-даввдково","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","8","3","2","2","3","6","Нет культуры использования велосипеда. Велосипедисты очень редко соблюдают ПДД. Была бы рада, если бы было больше возможностей для велосипедистов, но рога город не готов к этом, также как и люди."
"2019/05/30 3:26:16 PM GMT+3","Женский","48","Среднее специальное","Тропарево-Никулино","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","8","3","3","1","2","3","Средство поддерживать себя в форме во время прогулок на природе "
"2019/05/30 3:50:22 PM GMT+3","Женский","42","Высшее","тропарево-никулино","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","10","1","9","8","1","7","Средство для прогулок за городом"
"2019/05/30 5:07:22 PM GMT+3","Мужской","36","Высшее","Лефортово","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Менее 2 километров","7","3","3","3","7","8","Отличный способ расслабиться и отдохнуть-сменить деятельность. Хорошее средство передвижения, там где нет возможности проехать на авто ( парки, лес, итд)"
"2019/05/30 5:30:47 PM GMT+3","Мужской","18","Среднее общее","Басманный","Я работаю","Нет","","","","","","Да","Нет","Нет","От 2 до 5 километров","10","1","1","1","2","1","велосипед"
"2019/05/30 5:48:12 PM GMT+3","Женский","33","Высшее, ученая степень","Басманный","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы);Поручения и личные встречи","Нет","Да","Да, есть","Нет","Менее 2 километров","3","7","9","8","10","10","Лето"
"2019/05/30 5:53:08 PM GMT+3","Мужской","45","Высшее","Московская область","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Нет","Нет","Более 10 километров","7","4","4","1","7","9",""
"2019/05/30 6:19:36 PM GMT+3","Женский","33","Высшее","Щукино","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Нет","Да, есть","От 5 до 10 километров","7","8","10","1","8","8",""
"2019/05/30 6:26:16 PM GMT+3","Женский","36","Высшее","Тропарево-Никулино","Домохозяйка","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Менее 2 километров","6","3","1","2","4","10","Спорт"
"2019/05/30 6:51:25 PM GMT+3","Женский","45","Высшее","Басманный","Я работаю","Нет","","","","","","Да","Да, есть","Нет","Менее 2 километров","8","3","3","1","4","4","Удобно для дачного передвижения. На воздухе. "
"2019/05/30 7:11:04 PM GMT+3","Мужской","47","Среднее специальное","Измайлово","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;По делам","Да","Да","Нет","Да, есть","Более 10 километров","7","1","10","1","5","5","Хоть какая-то активность в сидячем образе жизни"
"2019/05/30 7:57:01 PM GMT+3","Женский","55","Высшее","Фили-давыдково","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Менее 2 километров","5","5","5","3","1","1","Приятная прогулка  В БЕЗЛЮДНОЙ МЕСТНОСТИ"
"2019/05/30 8:19:30 PM GMT+3","Женский","52","Высшее","СЗАО","Я работаю","Нет","","","","","","Нет","Нет","Нет","Менее 2 километров","10","1","10","10","1","1","Опасный вид транспорта"
"2019/05/30 8:32:02 PM GMT+3","Женский","30","Высшее, ученая степень","Щукино","Я безработный","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","9","1","2","9","3","3",""
"2019/05/30 8:49:55 PM GMT+3","Мужской","38","Неоконченное высшее","басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","От 2 до 5 километров","7","5","4","4","7","10","развлечение"
"2019/05/30 9:07:36 PM GMT+3","Мужской","30","Высшее","Текстильщики","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Нет","Нет","Менее 2 километров","4","6","7","4","7","7","Ну так покататься"
"2019/05/30 9:17:23 PM GMT+3","Женский","46","Высшее","Хорошево-Мневники","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","8","1","10","1","1","5","Средство передвижения в сельской местности или в парковых зонах города."
"2019/05/30 9:36:59 PM GMT+3","Мужской","52","Высшее","Медведково","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Нет","Нет","Более 10 километров","6","5","4","1","10","8","Транспорт, лекарство"
"2019/05/30 9:51:23 PM GMT+3","Женский","30","Высшее","Матвеевское","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","Более 10 километров","6","5","1","1","7","7","Семья"
"2019/05/30 9:53:38 PM GMT+3","Женский","51","Высшее","Ярославский","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","10","1","1","10","Воспоминания детства"
"2019/05/30 9:58:18 PM GMT+3","Женский","39","Высшее","Курортный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","От 5 до 10 километров","7","8","10","10","10","10",""
"2019/05/30 10:01:52 PM GMT+3","Мужской","36","Высшее","Кунцево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Нет","Да","Нет","Да, есть","Более 10 километров","6","2","1","1","9","5","Совмещение приятного времяпрепровождения с необходимостью поездок в тёплое время года"
"2019/05/30 10:09:54 PM GMT+3","Мужской","38","Высшее","Восточное Дегунино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Нет","Нет","Более 10 километров","6","2","1","1","10","10","Жизнь в седле велиспеда веселее:)"
"2019/05/30 10:10:14 PM GMT+3","Женский","23","Среднее специальное","Алексеевская","Я работаю","Да","от 1 до 5 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи","Да","Да","Да, есть","Нет","От 5 до 10 километров","10","8","1","1","10","10","Средство передвижения по городу, который не вредит экологии."
"2019/05/30 10:14:51 PM GMT+3","Женский","45","Высшее","Коптево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Нет","Нет","Более 10 километров","3","4","4","4","10","10","Стиль жизни"
"2019/05/30 10:17:22 PM GMT+3","Мужской","24","Высшее","Алексеевский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Нет","От 5 до 10 километров","6","8","7","3","10","10","Способ перемещения"
"2019/05/30 10:20:20 PM GMT+3","лесбиянка травести","13","Неполное среднее (9 классов школы)","Капотня","Я учусь","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","10","10","1","8","1","хипстерская игрушка"
"2019/05/30 10:21:49 PM GMT+3","Женский","19","Неоконченное высшее","Люблино","Я работаю","Да","Более 10 лет","Да, пользуюсь","Да, пользуюсь","Способ проведения досуга","Да","Нет","Да, есть","Нет","От 5 до 10 километров","8","3","7","3","7","2","попытка к бегству"
"2019/05/30 10:22:54 PM GMT+3","Мужской","64","Высшее, ученая степень","Измаилово","Я безработный","Нет","","","","","","Нет","Да, есть","Нет","Менее 2 километров","1","10","1","1","1","1",""
"2019/05/30 10:24:30 PM GMT+3","не опредилилась","42","Неполное среднее (9 классов школы)","Центральный","Я учусь","Да","до 1  года","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Нет","Нет","Нет","Нет","Более 10 километров","10","4","10","10","10","1",""
"2019/05/30 10:33:52 PM GMT+3","Женский","35","Высшее","ЮЗАО ","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","6","3","1","1","3","10","Средство для прогулки"
"2019/05/30 10:40:06 PM GMT+3","Мужской","38","Высшее","Хамовники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Нет","Более 10 километров","6","2","2","2","8","8","1. Возможность получить дополнительную физическую нагрузку; 2. Коммьюнити."
